Inv_Id,Vendor_Code,GL_Code,Inv_Amt,Item_Description,Product_Category
1,VENDOR-61,GL-6050100,6.973472872,"AETNA VARIABLE FUND - Apr-2002 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
2,VENDOR-61,GL-6050100,25.05384073,"AETNA VARIABLE FUND - Nov-2000 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
3,VENDOR-449,GL-6050100,53.57373741,"FAIRCHILD CORP - Nov-2001 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
4,VENDOR-682,GL-6050100,67.38882688,"CALIFORNIA REAL ESTATE INVESTMENT TRUST - Aug-2006 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
5,VENDOR-682,GL-6050100,74.26204729,"CALIFORNIA REAL ESTATE INVESTMENT TRUST - Mar-2013 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
7,VENDOR-1351,GL-6050100,52.44807147,"EDO CORP - Jul-2008 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
8,VENDOR-1351,GL-6050100,97.21735715,"EDO CORP - Apr-2010 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
9,VENDOR-196,GL-6050100,74.61484545,"AMERICAN FINANCIAL CORP - Mar-2007 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
10,VENDOR-196,GL-6050100,25.14717589,"AMERICAN FINANCIAL CORP - Jul-2012 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
11,VENDOR-792,GL-6050100,18.72839929,"CENTURY REALTY TRUST - Mar-2004 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
13,VENDOR-792,GL-6050100,53.62083378,"CENTURY REALTY TRUST - Aug-2017 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
15,VENDOR-792,GL-6050100,18.8527437,"CENTURY REALTY TRUST - Mar-2010 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
16,VENDOR-792,GL-6050100,59.20073444,"CENTURY REALTY TRUST - Mar-2013 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
17,VENDOR-792,GL-6050100,9.334980605,"CENTURY REALTY TRUST - Jul-2009 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
21,VENDOR-614,GL-6050100,5.520217642,"BROOKLYN UNION GAS CO - May-2008 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
23,VENDOR-1347,GL-6050100,76.58139658,"EDGEWOOD MANAGEMENT CO /ADV - Jul-2017 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
24,VENDOR-52,GL-6050100,32.04261236,"ALLIANCE GAMING CORP - Feb-2006 - Store Management Real Estate Real Estate Services Real Estate General (Search, Appraisal, Realtor Commission)",CLASS-784
26,VENDOR-1014,GL-2182000,22.02040428,CONTINENTAL CORP - Oct-2000 - Corporate Services Human Resources Benefits Life and Health and Accident Insurance,CLASS-489
28,VENDOR-1014,GL-2182000,90.00548324,CONTINENTAL CORP - Jul-2004 - Corporate Services Human Resources Benefits Life and Health and Accident Insurance,CLASS-489
29,VENDOR-347,GL-2182000,28.94729042,ASTREX INC. - Apr-2001 - Corporate Services Human Resources Benefits Life and Health and Accident Insurance,CLASS-489
30,VENDOR-1139,GL-2182000,99.77556548,DATA SYSTEMS INC /OR/ - Dec-2003 - Corporate Services Human Resources Benefits Life and Health and Accident Insurance,CLASS-489
31,VENDOR-343,GL-6101400,52.10602253,ASSOCIATED FINANCIAL SERVICES INC. /BD - Jan-2003 - Store Construction Fixtures Store Fixtures Store Fixtures,CLASS-913
32,VENDOR-1097,GL-6101400,88.63496854,CRYSTAL MOUNTAIN INC - Aug-2016 - Store Construction Fixtures Store Fixtures Store Fixtures,CLASS-913
33,VENDOR-1036,GL-6050310,44.48380273,COOPER INVESTMENT CO INC. /BD - Mar-2017 - Supply Chain Logistics Transportation Services Freight Forwarders Services Other,CLASS-368
34,VENDOR-1036,GL-6050310,30.40541802,COOPER INVESTMENT CO INC /BD - Sep-2016 - Supply Chain Logistics Transportation Services Freight Forwarders Services Other,CLASS-368
35,VENDOR-1557,GL-6101400,32.45761188,FINANCE CORP - Dec-2019 - Store Construction Fixtures Store Fixtures Store Fixtures,CLASS-913
38,VENDOR-289,GL-6020600,33.22968027,ANNAPOLIS INDUSTRIAL LOAN CO - Aug-2002 - Non-Procurable Miscellaneous Non-Procurable Royalties Royalties,CLASS-816
39,VENDOR-407,GL-6020600,46.57887753,PERRY & CO - Apr-2016 - Non-Procurable Miscellaneous Non-Procurable Royalties Royalties,CLASS-816
41,VENDOR-645,GL-6100410,27.00660875,BULOVA CORP - Nov-2007 - Production Agency Fees & Commissions Other Agency,CLASS-629
42,VENDOR-472,GL-6100410,57.60930542,BAUMANN INVESTMENT CO - Jan-2013 - Production Agency Fees & Commissions Other Agency,CLASS-629
43,VENDOR-1366,GL-6100410,80.07865738,EL PASO NATURAL GAS CO - Mar-2005 - Production Agency Fees & Commissions Other Agency,CLASS-629
44,VENDOR-472,GL-6100410,38.17686641,BAUMANN INVESTMENT CO - Aug-2019 - Production Agency Fees & Commissions Other Agency,CLASS-629
45,VENDOR-959,GL-6100410,7.894310934,CIGNA ANNUITY FUNDS GROUP - Apr-2018 - Production Agency Fees & Commissions Other Agency,CLASS-629
46,VENDOR-1035,GL-6100410,26.01415873,COOPER INDUSTRIES INC - May-2013 - Production Agency Fees & Commissions Other Agency,CLASS-629
49,VENDOR-1035,GL-6100410,90.65766376,COOPER INDUSTRIES INC - Oct-2019 - Production Agency Fees & Commissions Other Agency,CLASS-629
51,VENDOR-1035,GL-6100410,32.86376641,COOPER INDUSTRIES INC. - Dec-2014 - Production Agency Fees & Commissions Other Agency,CLASS-629
52,VENDOR-1035,GL-6100410,33.65023981,COOPER INDUSTRIES INC - Oct-2017 - Production Agency Fees & Commissions Other Agency,CLASS-629
53,VENDOR-1035,GL-6100410,94.13275271,COOPER INDUSTRIES INC - Oct-2003 - Production Agency Fees & Commissions Other Agency,CLASS-629
55,VENDOR-1035,GL-6100410,26.04867156,COOPER INDUSTRIES INC - Feb-2004 - Production Agency Fees & Commissions Other Agency,CLASS-629
56,VENDOR-1366,GL-6100410,76.42122511,EL PASO NATURAL GAS CO - Nov-2011 - Production Agency Fees & Commissions Other Agency,CLASS-629
57,VENDOR-1366,GL-6100410,25.88309477,EL PASO NATURAL GAS CO - Oct-2009 - Production Agency Fees & Commissions Other Agency,CLASS-629
58,VENDOR-660,GL-6100410,67.84210707,BUTLER MANUFACTURING CO - Aug-2006 - Production Agency Fees & Commissions Other Agency,CLASS-629
59,VENDOR-36,GL-6100410,85.84905649,ACORN INVESTMENT TRUST - Aug-2010 - Production Agency Fees & Commissions Other Agency,CLASS-629
61,VENDOR-669,GL-6100410,36.51515258,CACI INTERNATIONAL INC /DE/ - Nov-2011 - Production Agency Fees & Commissions Other Agency,CLASS-629
62,VENDOR-669,GL-6100410,20.68285508,CACI INTERNATIONAL INC /DE/ - Sep-2004 - Production Agency Fees & Commissions Other Agency,CLASS-629
